student_id,quiz_score,accuracy,retry_count,avg_quiz_time,course_completion,chat_complexity,learning_speed,weak_topics_count,student_level
1,68,44.59,5,388,40,3,2,3,Beginner
2,25,26.07,8,399,28,1,1,9,School Student
3,96,99.08,1,123,100,7,3,1,Advanced
4,76,65.46,3,178,77,7,3,2,Intermediate
5,12,40.1,8,466,22,2,1,4,School Student
6,86,90.78,1,112,81,10,3,1,Advanced
7,46,55.25,5,234,33,3,2,5,Beginner
8,28,20.91,9,865,8,2,1,8,School Student
9,76,83.79,2,133,80,7,3,2,Intermediate
10,61,39.56,8,637,28,2,1,4,School Student
11,77,67.82,3,164,50,5,3,3,Intermediate
12,40,44.97,5,262,30,3,2,2,Beginner
13,59,80.43,1,160,77,7,3,1,Intermediate
14,40,41.59,4,261,43,3,2,4,Beginner
15,61,62.18,2,426,56,3,2,3,Beginner
16,69,76.23,3,261,88,7,3,1,Intermediate
17,74,73.79,3,182,81,7,3,1,Intermediate
18,43,62.69,4,430,34,3,2,2,Beginner
19,41,30.96,6,385,32,2,1,5,School Student
20,84,74.13,2,194,77,5,3,3,Intermediate
21,36,24.95,7,558,10,2,1,6,School Student
22,44,57.31,3,371,43,3,2,4,Beginner
23,63,57.58,2,517,31,4,2,4,Beginner
24,56,43.7,5,280,21,4,2,5,Beginner
25,46,22.08,4,702,6,1,1,7,School Student
26,45,46.05,5,402,36,3,2,3,Beginner
27,71,64.59,3,594,35,3,2,2,Beginner
28,42,41.02,5,451,55,3,2,3,Beginner
29,84,77.9,1,280,89,7,3,2,Intermediate
30,75,71.82,1,297,72,7,3,2,Intermediate
31,71,78.2,2,231,51,5,3,2,Intermediate
32,89,98.24,0,68,88,9,3,0,Advanced
33,67,82.13,2,239,82,7,3,1,Intermediate
34,47,33.41,9,526,29,1,1,4,School Student
35,27,27.0,6,460,8,1,1,9,School Student
36,59,49.16,5,334,22,3,2,5,Beginner
37,51,52.72,3,574,41,4,2,3,Beginner
38,97,92.3,1,86,81,7,3,1,Advanced
39,79,74.85,1,180,68,7,3,1,Intermediate
40,37,26.45,9,672,10,1,1,7,School Student
41,33,21.58,9,480,35,1,1,7,School Student
42,100,89.59,1,146,80,10,3,0,Advanced
43,61,57.4,5,373,43,4,2,5,Beginner
44,66,70.08,2,249,75,5,3,1,Intermediate
45,39,20.28,5,707,17,2,1,5,School Student
46,52,44.86,5,599,33,4,2,4,Beginner
47,67,54.47,5,414,41,3,2,2,Beginner
48,31,30.68,9,604,10,1,1,9,School Student
49,44,53.06,2,259,24,3,2,5,Beginner
50,84,73.23,3,174,89,5,3,2,Intermediate
51,69,41.03,5,518,38,4,2,3,Beginner
52,46,16.45,9,426,13,2,1,8,School Student
53,10,25.48,9,417,29,2,1,8,School Student
54,55,52.92,5,268,41,3,2,4,Beginner
55,35,22.46,8,385,33,2,1,7,School Student
56,39,39.94,7,752,16,2,1,5,School Student
57,71,71.93,2,220,72,6,3,2,Intermediate
58,88,85.68,0,69,98,8,3,1,Advanced
59,89,95.26,1,83,95,9,3,1,Advanced
60,41,42.91,7,679,37,1,1,8,School Student
61,44,55.65,2,367,29,3,2,5,Beginner
62,51,42.52,3,452,54,3,2,2,Beginner
63,74,65.47,2,234,56,6,3,1,Intermediate
64,50,61.94,5,416,40,3,2,2,Beginner
65,44,58.77,5,426,54,4,2,5,Beginner
66,46,54.51,4,389,51,3,2,5,Beginner
67,52,58.5,4,560,49,3,2,2,Beginner
68,51,49.74,2,386,38,3,2,5,Beginner
69,87,86.37,0,87,93,9,3,1,Advanced
70,65,55.8,2,268,54,4,2,2,Beginner
71,60,58.81,4,343,58,3,2,2,Beginner
72,46,64.9,3,332,54,3,2,2,Beginner
73,57,64.22,2,273,36,3,2,3,Beginner
74,22,17.79,4,493,9,1,1,8,School Student
